制程码,公司名称,工序,机台,生产车间,物料编码,物料名称,规格型号,单位,合格品,不良品,报工人员,报工时间,标签来源
R20260530-6385-CQYXL-2480,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,500104-00518-01-05-B,个,42,0,YXL-JG0008,2026/5/30 7:42:11,独立标签
R20260529-6393-CQYXL-2476,重庆元新隆,机加工,德力2.5米,本厂,Q250417-4248-00-00,025AC后边梁,10062035-0-04-A,个,100,0,YXL-JG0008,2026/5/30 7:34:30,独立标签
R20260529-6313-CQYXL-2415,重庆元新隆,机加工,德力2.5米,本厂,Q250906-4535-00-00,小卡三代-右边框,,个,50,0,YXL-JG0003,2026/5/30 7:25:31,合批标签
R20260528-6293-CQYXL-2478,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,,个,42,0,YXL-JG0003,2026/5/30 7:20:29,独立标签
R20260529-6343-CQYXL-2410,重庆元新隆,机加工,德力2.5米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,1302,个,100,0,YXL-JG0003,2026/5/30 4:44:08,合批标签
R20260529-6351-CQYXL-2467,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3774-00-00,025AC前横梁,10062035-0-05,个,100,0,YXL-JG0003,2026/5/30 3:36:44,合批标签
R20260530-6360-CQYXL-2461,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3772-00-00,025AC右边梁,1657.98,个,50,0,YXL-JG0003,2026/5/30 2:39:42,合批标签
R20260509-5255-CQYXL-2327,重庆元新隆,机加,德玛仕1.6米,本厂,500104-00518-01-05-B,小卡三代-后膨胀梁,500104-00518-01-05-B,个,2,0,YXL-JG0003,2026/5/30 2:25:50,独立标签
R20260529-6306-CQYXL-2462,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3768-00-00,025AC左边梁,1657.98,个,50,0,YXL-JG0003,2026/5/30 1:30:20,合批标签
R20260529-6349-CQYXL-2459,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4556-00-00,AWT87.3-横梁02,500110-00799-01-03,个,61,0,YXL-JG0003,2026/5/30 1:06:56,独立标签
R20260525-6148-CQYXL-1952,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4533-00-00,小卡三代-左边框,500104-00518-01-010-01-C,个,50,0,YXL-JG0003,2026/5/30 0:32:23,合批标签
R20260529-6351-CQYXL-2441,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3774-00-00,025AC前横梁,10062035-0-05,个,100,0,YXL-JG0003,2026/5/29 23:13:42,合批标签
R20260527-6232-CQYXL-2266,重庆元新隆,机加工,德玛仕1.6米,本厂,Q251125-4647-00-00,F3-56-前梁01,,个,45,0,YXL-JG0003,2026/5/29 23:06:16,合批标签
R20260524-6125-CQYXL-2354,重庆元新隆,机加工,德力2.5米,本厂,Q251129-4556-00-00,AWT87.3-横梁02,1302,个,100,0,YXL-JG0003,2026/5/29 22:41:19,合批标签
R20260529-6341-CQYXL-2368,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,500104-00518-01-05-B,个,42,0,YXL-JG0003,2026/5/29 22:37:57,合批标签
R20260529-6311-CQYXL-2434,重庆元新隆,机加工,德力2.5米,本厂,Q250417-4248-00-00,025AC后边梁,1341.49,个,100,0,YXL-JG0003,2026/5/29 22:32:55,合批标签
R260529049-000-CQYXL-2428,重庆元新隆,,,亿企,2.A.02.6200-OSP00,PP-0168-前边梁,502.8,个,88,0,YXL-ZC0001,2026/5/29 19:33:10,独立标签
R260529048-000-CQYXL-2425,重庆元新隆,,,亿企,500109-00312-01-03,E35前梁01,455.6*119*103.88,个,200,0,YXL-ZC0001,2026/5/29 19:32:55,独立标签
R260529048-000-CQYXL-2426,重庆元新隆,,,亿企,BP45A-XC-13,BP45（76）A吊耳02,95,个,1284,0,YXL-ZC0001,2026/5/29 19:32:42,独立标签
R260529048-000-CQYXL-2424,重庆元新隆,,,亿企,10062035-0-02,025AC前边梁,741.8,个,360,0,YXL-ZC0001,2026/5/29 19:32:28,独立标签
R20260529-6341-CQYXL-2433,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,500104-00518-01-05-B,个,42,0,YXL-JG0008,2026/5/29 19:25:59,合批标签
R20260529-6329-CQYXL-2372,重庆元新隆,机加工,德玛仕1.6米,本厂,Q240930-8180-00-00,C01左边框,500109-00249-01-01,件,50,0,YXL-JG0008,2026/5/29 18:32:03,合批标签
R260529048-000-CQYXL-2427,重庆元新隆,,,亿企,BP76A-XC-06,BP76A-左边梁,807,个,245,0,YXL-011,2026/5/29 17:31:52,独立标签
R20260529-6337-CQYXL-2423,重庆元新隆,侧铣,德力2.5米,本厂,Q260402-7649-00-00,37/53KWH膨胀梁,500109-00515（552）-01-07,个,220,0,YXL-JG0008,2026/5/29 17:23:13,独立标签
R20260529-6306-CQYXL-2348,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3768-00-00,025AC左边梁,1657.98,个,50,0,YXL-JG0008,2026/5/29 15:38:36,独立标签
R20260527-6226-CQYXL-2115,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3772-00-00,025AC右边梁,1657.98,个,50,0,YXL-JG0008,2026/5/29 15:38:26,独立标签
R20260529-6351-CQYXL-2377,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3774-00-00,025AC前横梁,10062035-0-05,个,100,0,YXL-JG0008,2026/5/29 15:37:40,合批标签
R20260529-6313-CQYXL-2381,重庆元新隆,机加工,德力2.5米,本厂,Q250906-4535-00-00,小卡三代-右边框,500104-00518-01-010-02-C,个,50,0,YXL-JG0008,2026/5/29 15:15:23,合批标签
R20260528-6265-CQYXL-2411,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3774-00-00,025AC前横梁,1293,个,31,0,YXL-JG0008,2026/5/29 14:54:44,独立标签
R20260529-6337-CQYXL-2407,重庆元新隆,侧铣,德力2.5米,本厂,Q260402-7649-00-00,37/53KWH膨胀梁,500109-00515（552）-01-07,个,220,0,YXL-JG0008,2026/5/29 12:37:35,合批标签
R20260529-6309-CQYXL-2405,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3778-00-00,025AC纵梁,1515.4,个,200,0,YXL-JG0008,2026/5/29 11:48:12,合批标签
R20260529-6339-CQYXL-2398,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3774-00-00,025AC前横梁,1293,个,100,0,YXL-JG0008,2026/5/29 11:05:57,合批标签
R20260529-6338-CQYXL-2384,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3774-00-00,025AC前横梁,1293,个,100,0,YXL-JG0008,2026/5/29 11:02:06,合批标签
R260529003-000-CQYXL-2399,重庆元新隆,,,亿企,BP80-XC-06,BP80-后横梁,900.35,个,983,0,YXL-ZC0001,2026/5/29 10:53:18,独立标签
R260529003-000-CQYXL-2402,重庆元新隆,,,亿企,BP76B-XC-01,BP76B-前边梁,724.5,个,240,0,YXL-ZC0001,2026/5/29 10:52:48,独立标签
R260529003-000-CQYXL-2401,重庆元新隆,,,亿企,BP76A-XC-01,BP76A-前边梁,369.5,个,180,0,YXL-ZC0001,2026/5/29 10:52:41,独立标签
R260529003-000-CQYXL-2400,重庆元新隆,,,亿企,BP76A-XC-02,BP76A-后边梁,369.5,个,180,0,YXL-ZC0001,2026/5/29 10:52:34,独立标签
R20260525-6160-CQYXL-1954,重庆元新隆,机加工,德力2.5米,本厂,Q250417-4248-00-00,025AC后边梁,1341.49,个,100,0,YXL-JG0008,2026/5/29 10:00:12,合批标签
R20260529-6328-CQYXL-2379,重庆元新隆,机加工,德力2.5米,本厂,Q240930-8181-00-00,C01右边框,500109-00249-01-02,件,50,0,YXL-JG0008,2026/5/29 9:25:15,合批标签
R20260529-6340-CQYXL-2380,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,500104-00518-01-05-B,个,42,0,YXL-JG0008,2026/5/29 9:20:21,独立标签
R20260529-6316-CQYXL-2370,重庆元新隆,机加工,德玛仕1.6米,本厂,Q251125-4647-00-00,F3-56-前梁01,500109-00677-01-01,个,80,0,YXL-JG0008,2026/5/29 8:43:20,合批标签
R20260529-6312-CQYXL-2376,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4533-00-00,小卡三代-左边框,500104-00518-01-010-01-C,个,50,0,YXL-JG0008,2026/5/29 8:40:54,合批标签
R20260529-6335-CQYXL-2318,重庆元新隆,侧铣,德力2.5米,本厂,Q260402-7649-00-00,37/53KWH膨胀梁,500109-00515（552）-01-07,个,220,0,YXL-JG0008,2026/5/29 8:37:07,独立标签
R20260529-6329-CQYXL-2378,重庆元新隆,机加工,德玛仕1.6米,本厂,Q240930-8180-00-00,C01左边框,,件,50,0,YXL-JG0003,2026/5/29 7:52:11,合批标签
R20260529-6310-CQYXL-2366,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3772-00-00,025AC右边梁,1657.98,个,50,0,YXL-JG0003,2026/5/29 7:39:13,独立标签
R20260529-6341-CQYXL-2361,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,500104-00518-01-05-B,个,42,0,YXL-JG0003,2026/5/29 7:33:28,独立标签
R20260528-6264-CQYXL-2265,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3768-00-00,025AC左边梁,,个,50,0,YXL-JG0003,2026/5/29 7:26:02,合批标签
R20260522-5979-CQYXL-1538,重庆元新隆,机加工,德力2.5米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,1302,个,5,0,YXL-JG0003,2026/5/29 7:12:52,独立标签
R20260528-6290-CQYXL-2325,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,500110-00799-01-02,个,100,0,YXL-JG0003,2026/5/29 6:49:44,独立标签
R20260528-6287-CQYXL-2245,重庆元新隆,机加工,德力2.5米,本厂,Q240930-8181-00-00,C01右边框,500109-00249-01-02,件,50,0,YXL-JG0003,2026/5/29 5:23:30,合批标签
R20260527-6232-CQYXL-2272,重庆元新隆,机加,德玛仕1.6米,本厂,500109-00677-01-01,F3-56-前梁01,500109-00677-01-01,个,9,0,YXL-JG0003,2026/5/29 5:07:13,合批标签
R20260529-6349-CQYXL-2303,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4556-00-00,AWT87.3-横梁02,500110-00799-01-03,个,53,0,YXL-JG0008,2026/5/29 4:58:14,独立标签
R20260529-6335-CQYXL-2260,重庆元新隆,侧铣,德力2.5米,本厂,Q260402-7649-00-00,37/53KWH膨胀梁,500109-00515（552）-01-07,个,7,0,YXL-JG0008,2026/5/29 4:51:44,独立标签
R20260529-6337-CQYXL-2252,重庆元新隆,侧铣,德力2.5米,本厂,Q260402-7649-00-00,37/53KWH膨胀梁,500109-00515（552）-01-07,个,220,0,YXL-JG0008,2026/5/29 4:40:20,合批标签
R20260529-6337-CQYXL-2306,重庆元新隆,侧铣,德力2.5米,本厂,Q260402-7649-00-00,37/53KWH膨胀梁,,个,220,0,YXL-JG0008,2026/5/29 4:39:34,独立标签
R20260524-6125-CQYXL-2286,重庆元新隆,机加工,德力2.5米,本厂,Q251129-4556-00-00,AWT87.3-横梁02,,个,8,0,YXL-JG0008,2026/5/29 2:49:25,独立标签
R20260529-6333-CQYXL-2243,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4556-00-00,AWT87.3-横梁02,500110-00799-01-03,个,100,0,YXL-JG0008,2026/5/29 1:18:22,独立标签
R20260529-6311-CQYXL-2267,重庆元新隆,机加工,德力2.5米,本厂,Q250417-4248-00-00,025AC后边梁,1341.49,个,100,0,YXL-JG0008,2026/5/29 1:06:42,合批标签
R20260506-5081-CQYXL-2282,重庆元新隆,制程,,本厂,500109-00677-01-03-A,F3-56-左右边梁01,Q260505-4840-00-00,个,5,0,YXL-JG0008,2026/5/29 1:03:11,独立标签
R20260528-6271-CQYXL-2241,重庆元新隆,机加工,德力2.5米,本厂,Q250906-4535-00-00,小卡三代-右边框,500104-00518-01-010-02-C,个,50,0,YXL-JG0008,2026/5/29 0:56:14,合批标签
R20260529-6338-CQYXL-2280,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3774-00-00,025AC前横梁,1293,个,100,0,YXL-JG0008,2026/5/29 0:43:48,合批标签
R20260527-6232-CQYXL-2068,重庆元新隆,机加工,德玛仕1.6米,本厂,Q251125-4647-00-00,F3-56-前梁01,500109-00677-01-01,个,5,0,YXL-JG0008,2026/5/29 0:07:08,独立标签
R20260528-6264-CQYXL-2211,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3768-00-00,025AC左边梁,1657.98,个,50,0,YXL-JG0008,2026/5/28 23:16:50,合批标签
R20260528-6286-CQYXL-2246,重庆元新隆,机加工,德玛仕1.6米,本厂,500109-00249-01-01,C01左边框,,个,50,0,YXL-JG0008,2026/5/28 23:15:03,合批标签
R20260528-6290-CQYXL-2221,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,500110-00799-01-02,个,100,0,YXL-JG0008,2026/5/28 23:13:39,独立标签
R20260529-6339-CQYXL-2259,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3774-00-00,025AC前横梁,1293,个,100,0,YXL-JG0008,2026/5/28 23:02:01,合批标签
R20260528-6293-CQYXL-2240,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,500104-00518-01-05-B,个,42,0,YXL-JG0008,2026/5/28 23:01:52,合批标签
R20260528-6268-CQYXL-2261,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3772-00-00,025AC右边梁,,个,50,0,YXL-JG0008,2026/5/28 23:00:06,独立标签
