公司ID,公司名称,设备ID,加工设备,排程分类,资产编码,当前用户,当前时间
CQYXL,重庆元新隆,A-01,德力2.5米,排程类,F004-4001-240701,CQYXL0012,2024/11/14 20:19:26
CQYXL,重庆元新隆,A-02,德力2.5米,排程类,F004-4001-240702,CQYXL0012,2024/11/14 20:26:19
CQYXL,重庆元新隆,A-03,德力2.5米,排程类,F004-4001-240703,CQYXL0012,2024/11/14 20:26:30
CQYXL,重庆元新隆,A-04,德力2.5米,排程类,F004-4001-240704,CQYXL0012,2024/11/14 20:26:25
CQYXL,重庆元新隆,A-05,德玛仕2.5米,排程类,F004-4001-240705,CQYXL0012,2024/11/14 20:26:40
CQYXL,重庆元新隆,A-06,德玛仕2.5米,排程类,F004-4001-240706,CQYXL0012,2024/11/14 20:26:45
CQYXL,重庆元新隆,B-01,德力2.5米,排程类,F004-4001-240101,CQYXL0012,2024/11/14 20:27:22
CQYXL,重庆元新隆,B-02,德力2.5米,排程类,F004-4001-240102,CQYXL0012,2024/11/14 20:27:26
CQYXL,重庆元新隆,B-03,德力2.5米,排程类,F004-4001-240103,CQYXL0012,2024/11/14 20:27:30
CQYXL,重庆元新隆,B-04,德力2.5米,排程类,F004-4001-240104,CQYXL0012,2024/11/14 20:27:34
CQYXL,重庆元新隆,B-05,德玛仕1.6米,排程类,F004-4001-240105,CQYXL0012,2024/11/14 20:27:39
CQYXL,重庆元新隆,B-06,德玛仕1.6米,排程类,F004-4001-240106,CQYXL0012,2024/11/14 20:27:43
CQYXL,重庆元新隆,C-01,德力2.5米,排程类,F004-4001-240201,CQYXL0012,2024/11/14 20:28:03
CQYXL,重庆元新隆,C-02,德力2.5米,排程类,F004-4001-240202,CQYXL0012,2024/11/14 20:28:07
CQYXL,重庆元新隆,C-03,德玛仕1.6米,排程类,F004-4001-240203,CQYXL0012,2024/11/14 20:28:11
CQYXL,重庆元新隆,C-04,德玛仕1.6米,排程类,F004-4001-240204,CQYXL0012,2024/11/14 20:28:15
CQYXL,重庆元新隆,C-05,德玛仕1.6米,排程类,F004-4001-240205,CQYXL0012,2024/11/14 20:28:19
CQYXL,重庆元新隆,C-06,德玛仕1.6米,排程类,F004-4001-240206,CQYXL0012,2024/11/14 20:28:22
CQYXL,重庆元新隆,D-01,德力2.5米,排程类,F004-4001-240301,CQYXL0012,2024/11/14 20:28:50
CQYXL,重庆元新隆,D-02,德力2.5米,排程类,F004-4001-240302,CQYXL0012,2024/11/14 20:28:46
CQYXL,重庆元新隆,D-03,德玛仕1.6米,排程类,F004-4001-240303,CQYXL0012,2024/11/14 20:28:42
CQYXL,重庆元新隆,D-04,德玛仕1.6米,排程类,F004-4001-240304,CQYXL0012,2024/11/14 20:28:38
CQYXL,重庆元新隆,DaMa-1,激光打标机-2楼,非排程类,CK20240710XM01,CQYXL0012,2024/11/14 20:19:15
CQYXL,重庆元新隆,DaMa-2,激光打标机-2楼,非排程类,CK20240419XM01,CQYXL0012,2024/11/14 20:26:55
CQYXL,重庆元新隆,DaMa-3,激光打标机-2楼,非排程类,CK20230508A,CQYXL0012,2024/11/14 20:26:59
CQYXL,重庆元新隆,DaMa-4,激光打标机-2楼,非排程类,renbao,CQYXL0012,2024/11/14 20:27:03
CQYXL,重庆元新隆,DaMa-5,激光打标机-1楼,非排程类,CK20240525XM01,CQYXL0012,2024/11/14 20:27:07
CQYXL,重庆元新隆,E-01,德玛仕1.6米,非排程类,F004-4001-240401,CQYXL0012,2025/5/11 9:08:26
CQYXL,重庆元新隆,E-02,德玛仕1.6米,非排程类,F004-4001-240402,CQYXL0012,2025/5/11 9:08:22
CQYXL,重庆元新隆,E-03,德玛仕1.6米,非排程类,F004-4001-240403,CQYXL0012,2025/5/11 9:05:59
CQYXL,重庆元新隆,E-04,德玛仕1.6米,非排程类,F004-4001-240404,CQYXL0012,2025/5/11 9:05:55
CQYXL,重庆元新隆,E-05,德玛仕1.6米,非排程类,F004-4001-240405,CQYXL0012,2025/5/11 9:05:52
CQYXL,重庆元新隆,F-01,德玛仕2.5米,非排程类,F004-4001-240501,CQYXL0012,2025/5/11 9:05:12
CQYXL,重庆元新隆,F-02,德玛仕2.5米,非排程类,F004-4001-240502,CQYXL0012,2025/5/11 9:05:20
CQYXL,重庆元新隆,F-03,德玛仕2.5米,非排程类,F004-4001-240503,CQYXL0012,2025/5/11 9:05:26
CQYXL,重庆元新隆,F-04,德玛仕2.5米,非排程类,F004-4001-240504,CQYXL0012,2025/5/11 9:05:31
CQYXL,重庆元新隆,GZJ-1-1,一车间内干燥机,非排程类,ED0000188491,CQYXL0012,2024/11/14 20:30:30
CQYXL,重庆元新隆,GZJ-1-2,一车间外干燥机,非排程类,ED0000151644,CQYXL0012,2024/11/14 20:30:24
CQYXL,重庆元新隆,GZJ-2-1,二车间干燥机,非排程类,ED0000197976,CQYXL0012,2024/11/14 20:30:20
CQYXL,重庆元新隆,I-01,哈驰2.5米,排程类,F004-4001-240505,CQYXL0012,2025/5/11 9:08:45
CQYXL,重庆元新隆,I-02,哈驰2.5米,排程类,F004-4001-240506,CQYXL0012,2025/5/11 9:07:22
CQYXL,重庆元新隆,LS-01,补偿设备,排程类,LS-BC,YXL-011,2026/3/4 17:23:11
CQYXL,重庆元新隆,SZB1,三坐标测量机,非排程类,1020824102,CQYXL0012,2024/11/14 20:27:48
CQYXL,重庆元新隆,T001,车间行车,非排程类,T001,CQYXL0012,2025/11/24 17:47:55
CQYXL,重庆元新隆,T001/2,车间行车,非排程类,T001,CQYXL0012,2025/11/24 17:47:49
CQYXL,重庆元新隆,T003,电热水池,非排程类,T003,CQYXL0012,2025/11/24 17:47:40
CQYXL,重庆元新隆,T004,超声波清洗池,非排程类,T004,CQYXL0012,2025/11/24 17:47:02
CQYXL,重庆元新隆,T004/5,超声波清洗池,非排程类,T004,CQYXL0012,2025/11/24 17:46:52
CQYXL,重庆元新隆,T006/7,打磨除尘机,非排程类,T006,CQYXL0012,2025/11/24 17:46:43
CQYXL,重庆元新隆,T008,货运电梯,非排程类,T008,CQYXL0012,2025/11/24 17:46:31
CQYXL,重庆元新隆,YSJ-1-1,一车间内压缩机,非排程类,ES0000362815,CQYXL0012,2024/11/14 20:31:15
CQYXL,重庆元新隆,YSJ-1-2,一车间外压缩机,非排程类,ES0000242367,CQYXL0012,2024/11/14 20:31:11
CQYXL,重庆元新隆,YSJ-2-1,二车间压缩机,非排程类,ES0000526434,CQYXL0012,2024/11/14 20:31:06
