产品/项目,客户名称,客户全称,维护时间,维护人员
BX4,KHLIANWEI,联伟汽车系统有限公司,2024/10/18 23:13:52,CQYXL0012
C01,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:51:05,YXLZS2408012
C385,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:51:28,YXLZS2408012
C385MCA,KHJINJIASHENG,锦佳盛（重庆）新能源科技有限公司,2025/6/16 14:14:01,YXL-JS0008
C673-ICA,KHXIANGXIN,祥鑫科技股份有限公司,2024/10/21 15:51:55,YXLZS2408012
CM2E,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:52:02,YXLZS2408012
DC1E,KHXIANGXIN,祥鑫科技股份有限公司,2024/10/21 15:52:07,YXLZS2408012
E12,KHXIANGXIN,祥鑫科技股份有限公司,2024/10/21 15:52:12,YXLZS2408012
E15,KHXIANGXIN,祥鑫科技股份有限公司,2024/10/21 15:52:17,YXLZS2408012
E35,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:52:22,YXLZS2408012
ENERS,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:52:27,YXLZS2408012
EP36-2,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:52:32,YXLZS2408012
EPA1-28,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:52:38,YXLZS2408012
EPA1-59,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:54:52,YXLZS2408012
EPA2,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:55:05,YXLZS2408012
ES11,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:54:59,YXLZS2408012
37KWH,KHXIANGXIN,祥鑫科技股份有限公司,2025/3/10 16:21:21,CQYXL0012
GE1,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:55:16,YXLZS2408012
HP32,KEHUHESHENG,四川和胜新能源汽车部件有限公司,2024/11/20 8:46:47,YXLZS2408005
J90A,KHXIANGXIN,祥鑫科技股份有限公司,2024/10/21 15:55:53,YXLZS2408012
JL5500YS,KHJIALONG,重庆市嘉龙密封件股份有限公司,2024/10/21 15:55:59,YXLZS2408012
M2模组,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:56:08,YXLZS2408012
P0R,KHYUHUAN,成都誉寰盛世科技有限公司,2024/10/21 15:56:18,YXLZS2408012
PMA1,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:56:26,YXLZS2408012
PP7,KHXIANGXIN,祥鑫科技股份有限公司,2024/10/21 15:56:30,YXLZS2408012
SEA1/EF1E,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:56:35,YXLZS2408012
VL1,KHLIANWEI,联伟汽车系统有限公司,2024/10/21 15:56:39,YXLZS2408012
Z22506,KHPUYI,宜宾普翼汽车科技有限公司,2024/10/21 16:23:38,YXLZS2408005
BP62,KHXIANGXIN,祥鑫科技股份有限公司,2024/11/5 17:21:10,YXLZS2408005
MS11,KHJINJIASHENG,锦佳盛（重庆）新能源科技有限公司,2025/6/16 13:56:49,YXL-JS0008
DJ2436,KHXIANGXIN,祥鑫科技股份有限公司,2024/11/28 10:14:30,YXL-005
极氪门槛,KEHULIANGDA,重庆亮达汽车零部件有限公司,2024/12/19 17:16:05,YXL-005
53KWH,KHXIANGXIN,祥鑫科技股份有限公司,2025/3/10 16:21:27,CQYXL0012
025AC,KHLIANWEI,联伟汽车系统有限公司,2025/3/25 13:41:50,YXL-JS0004
BV85,KHXIANGXIN,祥鑫科技股份有限公司,2025/3/25 17:20:43,YXL-JS0004
SD01-61,KHXIANGXIN,祥鑫科技股份有限公司,2025/6/3 14:05:34,YXL-JS0004
面板,KHJIALONG,重庆市嘉龙密封件股份有限公司,2025/4/24 7:59:53,YXL-JS0004
VM3,KHJINJIASHENG,锦佳盛（重庆）新能源科技有限公司,2025/6/16 13:55:58,YXL-JS0008
打样,KHXIANGXIN,祥鑫科技股份有限公司,2025/5/27 13:58:58,YXL-JS0004
VP6,KHJINJIASHENG,锦佳盛（重庆）新能源科技有限公司,2025/6/16 13:57:12,YXL-JS0008
BP45,KHXIANGXIN,祥鑫科技股份有限公司,2025/6/27 15:33:28,YXL-JS0008
SD01-69,KHXIANGXIN,祥鑫科技股份有限公司,2025/7/1 10:42:45,YXL-JS0008
BP76,KHXIANGXIN,祥鑫科技股份有限公司,2025/7/28 15:32:52,YXL-JS0008
E16,KHXIANGXIN,祥鑫科技股份有限公司,2025/8/23 16:16:20,YXL-JS0008
小卡三代,KHLIANWEI,联伟汽车系统有限公司,2025/9/6 16:42:30,YXL-JS0008
E12-4C(平伟）,KHLIANWEI,联伟汽车系统有限公司,2025/9/18 15:08:11,YXL-011
F3-CCB,202501,重庆博奥镁铝金属制造有限公司,2025/10/7 8:45:26,YXL-011
F1L,KHLIANWEI,联伟汽车系统有限公司,2025/10/5 13:55:26,YXL-JS0004
BP80,KHXIANGXIN,祥鑫科技股份有限公司,2025/10/18 9:16:21,YXL-JS0008
HP71,KEHUHESHENG,四川和胜新能源汽车部件有限公司,2025/11/20 9:27:23,YXL-JS0008
AWT-50.9KWH,KHXIANGXIN,祥鑫科技股份有限公司,2025/11/21 10:45:14,YXL-JS0008
AWT-87.3(E16),KHXIANGXIN,祥鑫科技股份有限公司,2025/11/24 15:08:24,YXL-JS0008
F3-56,KHLIANWEI,联伟汽车系统有限公司,2025/11/25 9:06:44,YXL-JS0008
PP-0168,202502,长盈精密技术有限公司,2026/1/21 17:04:51,YXL-JS0008
EHU-56,KHLIANWEI,联伟汽车系统有限公司,2026/3/5 18:22:18,YXL-JS0008
问界-81,KHLIANWEI,联伟汽车系统有限公司,2026/3/7 19:44:38,YXL-JS0008
HP80,KEHUHESHENG,四川和胜新能源汽车部件有限公司,2026/3/12 14:05:38,YXL-JS0008
HP38-13,KEHUHESHENG,四川和胜新能源汽车部件有限公司,2026/3/13 19:45:34,YXL-JS0008
F618,KHXIANGXIN,祥鑫科技股份有限公司,2026/4/2 14:53:46,YXL-JS0008
AB01,KHLIANWEI,联伟汽车系统有限公司,2026/4/16 17:37:00,YXL-JS0008
F2N81,KHLIANWEI,联伟汽车系统有限公司,2026/4/24 9:16:34,YXL-JS0008
东泽,KHDONZGE,重庆东泽科捷科技有限公司,2026/5/20 16:58:59,YXL-JS0008
C390,KHXINBO,重庆鑫铂新能源汽车零部件制造有限公司,2026/5/26 9:18:07,YXL-JS0008
C857,KHXINBO,重庆鑫铂新能源汽车零部件制造有限公司,2026/5/26 9:18:24,YXL-JS0008
鑫铂返修件,KHXINBO,重庆鑫铂新能源汽车零部件制造有限公司,2026/5/29 10:31:57,YXL-JS0008
工装/开发/返修,202602,元新隆科技有限公司（内部加工使用）,2026/5/30 8:05:42,YXL-011
